MoNEE_gene	Paper_ID	Protein_accession	OG_ID	Tree_file
MoNEE1	MGG_03761	EHA47760.1	OG0002471	MoNEE1_OG0002471_tree.txt
MoNEE2	MGG_08542	EHA49733.1	OG0000165	MoNEE2_OG0000165_tree.txt
MoNEE3	MGG_09439	EHA47798.1	OG0000004	MoNEE3_OG0000004_tree.txt
MoNEE4	MGG_09726	EHA51307.1	OG0001266	MoNEE4_OG0001266_tree.txt
MoNEE5	MGG_09738	EHA51293.1	OG0004342	MoNEE5_OG0004342_tree.txt
MoNEE6	MGG_10798	EHA48159.1	OG0001071	MoNEE6_OG0001071_tree.txt
